Challenge Date,IP Address,User Agent,Country,Challenge Type
Wed Sep 04 23:14:39 UTC 2024,24.252.59.104,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0,United States,LINKEDIN_APP_CHALLENGE
Fri Nov 22 16:59:36 UTC 2024,199.168.243.196,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:132.0) Gecko/20100101 Firefox/132.0,United States,LINKEDIN_APP_CHALLENGE
Fri Nov 22 16:59:37 UTC 2024,2600:1014:b126:c553:acab:f7b3:853d:ea06,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.30.4704",United States,LINKEDIN_APP_CHALLENGE
Fri Nov 22 16:59:39 UTC 2024,2600:1014:b126:c553:acab:f7b3:853d:ea06,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.30.4704",United States,LINKEDIN_APP_CHALLENGE
Fri Nov 22 16:59:40 UTC 2024,199.168.243.196,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:132.0) Gecko/20100101 Firefox/132.0,United States,LINKEDIN_APP_CHALLENGE
Sat Dec 14 04:27:13 UTC 2024,24.252.59.104,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0,United States,LINKEDIN_APP_CHALLENGE
Sat Dec 14 04:27:20 UTC 2024,2600:8804:480:218:a1e7:f56a:29e9:1d68,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.30.5633",United States,LINKEDIN_APP_CHALLENGE
Sat Dec 14 04:27:22 UTC 2024,2600:8804:480:218:a1e7:f56a:29e9:1d68,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.30.5633",United States,LINKEDIN_APP_CHALLENGE
Sat Dec 14 04:27:23 UTC 2024,24.252.59.104,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0,United States,LINKEDIN_APP_CHALLENGE
Wed Jan 15 18:58:41 UTC 2025,163.116.247.43,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20100101 Firefox/134.0,France,LINKEDIN_APP_CHALLENGE
Wed Jan 15 18:58:47 UTC 2025,2600:1014:b160:f285:9048:ebc3:b03:6240,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.30.6305.2",United States,LINKEDIN_APP_CHALLENGE
Wed Jan 15 18:58:54 UTC 2025,2600:1014:b160:f285:9048:ebc3:b03:6240,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.30.6305.2",United States,LINKEDIN_APP_CHALLENGE
Wed Jan 15 18:58:57 UTC 2025,163.116.247.43,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20100101 Firefox/134.0,France,LINKEDIN_APP_CHALLENGE
Sun Jan 26 12:36:46 UTC 2025,2600:8804:480:218:c4eb:a35e:2b52:522b,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Mobile/15E148 Safari/604.1",United States,LINKEDIN_APP_CHALLENGE
Sun Jan 26 12:37:04 UTC 2025,2600:8804:480:218:2126:817f:9e11:442,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.30.6524",United States,LINKEDIN_APP_CHALLENGE
Sun Jan 26 12:37:06 UTC 2025,2600:8804:480:218:2126:817f:9e11:442,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.30.6524",United States,LINKEDIN_APP_CHALLENGE
Sun Jan 26 12:37:08 UTC 2025,2600:8804:480:218:c4eb:a35e:2b52:522b,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Mobile/15E148 Safari/604.1",United States,LINKEDIN_APP_CHALLENGE
Mon Jan 27 23:10:51 UTC 2025,2600:8804:480:218:2088:af4d:3e4f:e781,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Mobile/15E148 Safari/604.1",United States,LINKEDIN_APP_CHALLENGE
Mon Jan 27 23:11:01 UTC 2025,2600:8804:480:218:2088:af4d:3e4f:e781,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.30.6524",United States,LINKEDIN_APP_CHALLENGE
Mon Jan 27 23:11:03 UTC 2025,2600:8804:480:218:2088:af4d:3e4f:e781,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.30.6524",United States,LINKEDIN_APP_CHALLENGE
Mon Jan 27 23:11:08 UTC 2025,2600:8804:480:218:2088:af4d:3e4f:e781,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Mobile/15E148 Safari/604.1",United States,LINKEDIN_APP_CHALLENGE
Wed Jan 29 02:22:12 UTC 2025,2600:8804:480:218:b54f:7811:fd55:8eef,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Safari/605.1.15",United States,LINKEDIN_APP_CHALLENGE
Wed Jan 29 02:22:27 UTC 2025,2600:8804:480:218:b3:68ea:a983:7de,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.30.6524",United States,LINKEDIN_APP_CHALLENGE
Wed Jan 29 02:22:28 UTC 2025,2600:8804:480:218:b3:68ea:a983:7de,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.30.6524",United States,LINKEDIN_APP_CHALLENGE
Wed Jan 29 02:22:31 UTC 2025,2600:8804:480:218:b54f:7811:fd55:8eef,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Safari/605.1.15",United States,LINKEDIN_APP_CHALLENGE
Fri Feb 28 17:06:23 UTC 2025,24.252.59.104,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:135.0) Gecko/20100101 Firefox/135.0,United States,LINKEDIN_APP_CHALLENGE
Fri Feb 28 17:06:30 UTC 2025,2600:8804:480:218:4583:4d90:bf56:bc40,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.30.7875",United States,LINKEDIN_APP_CHALLENGE
Fri Feb 28 17:06:31 UTC 2025,2600:8804:480:218:4583:4d90:bf56:bc40,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.30.7875",United States,LINKEDIN_APP_CHALLENGE
Fri Feb 28 17:06:33 UTC 2025,24.252.59.104,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:135.0) Gecko/20100101 Firefox/135.0,United States,LINKEDIN_APP_CHALLENGE
Sat Mar 01 18:53:05 UTC 2025,45.152.144.147,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Unknown,CAPTCHA_CHALLENGE
Sat Mar 01 18:53:05 UTC 2025,45.152.144.147,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Unknown,CAPTCHA_CHALLENGE
Sat Mar 01 18:53:13 UTC 2025,185.152.254.232,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Italy,CAPTCHA_CHALLENGE
Sat Mar 01 18:53:13 UTC 2025,185.152.254.232,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Italy,CAPTCHA_CHALLENGE
Sat Mar 01 18:53:26 UTC 2025,95.232.231.124,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Italy,CAPTCHA_CHALLENGE
Sat Mar 01 18:53:26 UTC 2025,95.232.231.124,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Italy,CAPTCHA_CHALLENGE
Sat Mar 08 20:49:32 UTC 2025,181.216.124.20,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Brazil,CAPTCHA_CHALLENGE
Sat Mar 08 20:49:32 UTC 2025,181.216.124.20,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Brazil,CAPTCHA_CHALLENGE
Sat Mar 08 22:31:02 UTC 2025,201.150.26.162,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Brazil,CAPTCHA_CHALLENGE
Sat Mar 08 22:31:02 UTC 2025,201.150.26.162,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Brazil,CAPTCHA_CHALLENGE
Sun Mar 09 05:39:15 UTC 2025,201.229.212.46,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Dominican Republic,CAPTCHA_CHALLENGE
Sun Mar 09 05:39:15 UTC 2025,201.229.212.46,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Dominican Republic,CAPTCHA_CHALLENGE
Tue Mar 11 04:09:15 UTC 2025,104.167.25.202,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",United States,CAPTCHA_CHALLENGE
Tue Mar 11 04:09:15 UTC 2025,104.167.25.202,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",United States,CAPTCHA_CHALLENGE
Tue Mar 11 19:37:44 UTC 2025,175.143.82.153,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Malaysia,CAPTCHA_CHALLENGE
Tue Mar 11 19:37:44 UTC 2025,175.143.82.153,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Malaysia,CAPTCHA_CHALLENGE
Tue Mar 11 20:55:12 UTC 2025,24.135.122.44,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Serbia,CAPTCHA_CHALLENGE
Tue Mar 11 20:55:12 UTC 2025,24.135.122.44,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Serbia,CAPTCHA_CHALLENGE
Tue Mar 11 22:20:52 UTC 2025,186.193.153.32,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Brazil,CAPTCHA_CHALLENGE
Tue Mar 11 22:20:52 UTC 2025,186.193.153.32,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Brazil,CAPTCHA_CHALLENGE
Tue Mar 11 22:51:09 UTC 2025,191.187.80.48,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Brazil,CAPTCHA_CHALLENGE
Tue Mar 11 22:51:09 UTC 2025,191.187.80.48,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Brazil,CAPTCHA_CHALLENGE
Wed Mar 12 16:53:41 UTC 2025,181.87.91.140,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Argentina,CAPTCHA_CHALLENGE
Wed Mar 12 16:53:41 UTC 2025,181.87.91.140,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Argentina,CAPTCHA_CHALLENGE
Fri Mar 14 06:58:40 UTC 2025,181.31.118.112,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Argentina,CAPTCHA_CHALLENGE
Fri Mar 14 06:58:40 UTC 2025,181.31.118.112,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Argentina,CAPTCHA_CHALLENGE
Sat Mar 15 10:49:06 UTC 2025,45.187.141.147,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Unknown,CAPTCHA_CHALLENGE
Sat Mar 15 10:49:06 UTC 2025,45.187.141.147,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Unknown,CAPTCHA_CHALLENGE
Sat Mar 15 11:35:44 UTC 2025,177.194.32.66,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Brazil,CAPTCHA_CHALLENGE
Sat Mar 15 11:35:44 UTC 2025,177.194.32.66,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Brazil,CAPTCHA_CHALLENGE
Sat Mar 15 13:00:05 UTC 2025,186.39.120.110,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Argentina,CAPTCHA_CHALLENGE
Sat Mar 15 13:00:05 UTC 2025,186.39.120.110,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Argentina,CAPTCHA_CHALLENGE
Sat Mar 15 13:55:00 UTC 2025,138.59.227.129,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Brazil,CAPTCHA_CHALLENGE
Sat Mar 15 13:55:00 UTC 2025,138.59.227.129,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Brazil,CAPTCHA_CHALLENGE
Sat Mar 15 14:10:05 UTC 2025,45.190.178.125,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Unknown,CAPTCHA_CHALLENGE
Sat Mar 15 14:10:05 UTC 2025,45.190.178.125,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Unknown,CAPTCHA_CHALLENGE
Sat Mar 15 20:07:47 UTC 2025,177.182.73.134,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Brazil,CAPTCHA_CHALLENGE
Sat Mar 15 20:07:47 UTC 2025,177.182.73.134,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Brazil,CAPTCHA_CHALLENGE
Sat Mar 15 20:48:28 UTC 2025,189.219.83.99,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Mexico,CAPTCHA_CHALLENGE
Sat Mar 15 20:48:28 UTC 2025,189.219.83.99,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Mexico,CAPTCHA_CHALLENGE
Sat Mar 15 20:56:03 UTC 2025,179.94.183.241,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Brazil,CAPTCHA_CHALLENGE
Sat Mar 15 20:56:03 UTC 2025,179.94.183.241,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Brazil,CAPTCHA_CHALLENGE
Sat Mar 15 20:56:41 UTC 2025,102.96.90.134,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Unknown,CAPTCHA_CHALLENGE
Sat Mar 15 20:56:41 UTC 2025,102.96.90.134,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Unknown,CAPTCHA_CHALLENGE
Sat Mar 15 21:22:43 UTC 2025,179.222.189.117,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Brazil,CAPTCHA_CHALLENGE
Sat Mar 15 21:22:43 UTC 2025,179.222.189.117,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Brazil,CAPTCHA_CHALLENGE
Sat Mar 15 21:44:42 UTC 2025,177.10.69.54,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Brazil,CAPTCHA_CHALLENGE
Sat Mar 15 21:44:42 UTC 2025,177.10.69.54,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Brazil,CAPTCHA_CHALLENGE
Sat Mar 15 21:45:17 UTC 2025,138.99.42.17,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Brazil,CAPTCHA_CHALLENGE
Sat Mar 15 21:45:17 UTC 2025,138.99.42.17,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Brazil,CAPTCHA_CHALLENGE
Sat Mar 15 23:37:32 UTC 2025,201.18.121.104,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Brazil,CAPTCHA_CHALLENGE
Sat Mar 15 23:37:32 UTC 2025,201.18.121.104,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Brazil,CAPTCHA_CHALLENGE
Sun Mar 16 00:13:43 UTC 2025,41.121.96.35,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",South Africa,CAPTCHA_CHALLENGE
Sun Mar 16 00:13:43 UTC 2025,41.121.96.35,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",South Africa,CAPTCHA_CHALLENGE
Sun Mar 16 00:47:34 UTC 2025,189.68.74.195,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Brazil,CAPTCHA_CHALLENGE
Sun Mar 16 00:47:34 UTC 2025,189.68.74.195,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Brazil,CAPTCHA_CHALLENGE
Sun Mar 16 01:33:18 UTC 2025,177.138.156.38,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Brazil,CAPTCHA_CHALLENGE
Sun Mar 16 01:33:18 UTC 2025,177.138.156.38,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Brazil,CAPTCHA_CHALLENGE
Sun Mar 16 01:33:56 UTC 2025,45.228.83.198,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Unknown,CAPTCHA_CHALLENGE
Sun Mar 16 01:33:56 UTC 2025,45.228.83.198,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Unknown,CAPTCHA_CHALLENGE
Sun Mar 16 02:12:32 UTC 2025,37.77.67.199,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Iraq,CAPTCHA_CHALLENGE
Sun Mar 16 02:12:32 UTC 2025,37.77.67.199,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Iraq,CAPTCHA_CHALLENGE
Sun Mar 16 02:13:03 UTC 2025,207.248.126.78,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Argentina,CAPTCHA_CHALLENGE
Sun Mar 16 02:13:03 UTC 2025,207.248.126.78,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Argentina,CAPTCHA_CHALLENGE
Sun Mar 16 02:18:49 UTC 2025,187.123.3.52,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Brazil,CAPTCHA_CHALLENGE
Sun Mar 16 02:18:49 UTC 2025,187.123.3.52,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Brazil,CAPTCHA_CHALLENGE
